"heart_rate","time","lap","position"
152,2884,9,"Upright"
154,2898,9,"Upright"
152,2912,9,"Upright"
150,2926,9,"Upright"
151,2940,9,"Upright"
153,2954,9,"Upright"
153,2968,9,"Upright"
152,2982,9,"Upright"
150,2996,9,"Upright"
149,3002,9,"Upright"
146,3012,10,NA
147,3029,10,NA
144,3035,10,NA
141,3040,10,NA
138,3055,10,NA
135,3068,10,NA
132,3079,10,NA
134,3097,10,NA
134,3115,10,NA
131,3132,10,NA
133,3149,10,NA
132,3166,10,NA
132,3183,10,NA
134,3201,10,NA
137,3215,10,NA
134,3225,10,NA
132,3243,10,NA
133,3260,10,NA
136,3266,10,NA
133,3283,10,NA
130,3293,10,NA
127,3296,10,NA
130,3302,10,NA
127,3319,10,NA
128,3339,10,NA
130,3359,10,NA
132,3379,10,NA
133,3399,10,NA
130,3404,10,NA
127,3413,10,NA
130,3426,10,NA
127,3443,10,NA
128,3463,10,NA
129,3483,10,NA
129,3503,10,NA
130,3522,10,NA
129,3541,10,NA
129,3561,10,NA
130,3580,10,NA
131,3600,10,NA
132,3606,10,NA
